"fileName","cleanTitle","url","date","size","genre","rating"
"Crash Bandicoot - The Wrath of Cortex (USA) (v1.00).zip","Crash Bandicoot - The Wrath of Cortex","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Crash%20Bandicoot%20-%20The%20Wrath%20of%20Cortex%20%28USA%29%20%28v1.00%29.zip","29-Mar-2022 16:55","389.6 MiB","Adventure",7.8
"Crimson Tears (USA).zip","Crimson Tears","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Crimson%20Tears%20%28USA%29.zip","29-Mar-2022 05:54","3.0 GiB","Action",6.9
"Dark Cloud (USA).zip","Dark Cloud","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Dark%20Cloud%20%28USA%29.zip","30-Mar-2022 08:34","850.5 MiB","Action",8.3
"Dark Cloud 2 (USA) (v1.00).zip","Dark Cloud 2","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Dark%20Cloud%202%20%28USA%29%20%28v1.00%29.zip","28-Mar-2022 13:01","2.7 GiB","Action",8.9
"Def Jam - Fight for NY (USA).zip","Def Jam - Fight for NY","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Def%20Jam%20-%20Fight%20for%20NY%20%28USA%29.zip","29-Mar-2022 17:32","2.1 GiB","Action",8.6
"Delta Force - Black Hawk Down (USA).zip","Delta Force - Black Hawk Down","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Delta%20Force%20-%20Black%20Hawk%20Down%20%28USA%29.zip","30-Mar-2022 09:16","906.0 MiB","Action",7.9
"Destroy All Humans! (USA).zip","Destroy All Humans!","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Destroy%20All%20Humans%21%20%28USA%29.zip","30-Mar-2022 02:43","2.2 GiB","Action",8.3
"Destroy All Humans! 2 (USA).zip","Destroy All Humans! 2","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Destroy%20All%20Humans%21%202%20%28USA%29.zip","30-Mar-2022 06:18","1.9 GiB","Action",8.4
"Devil May Cry (USA).zip","Devil May Cry","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Devil%20May%20Cry%20%28USA%29.zip","28-Mar-2022 14:53","2.1 GiB","Action",8.8
"Devil May Cry 3 - Dante's Awakening (USA) (En,Ja) (Special Edition).zip","Devil May Cry 3 - Dante's Awakening","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Devil%20May%20Cry%203%20-%20Dante%27s%20Awakening%20%28USA%29%20%28En%2CJa%29%20%28Special%20Edition%29.zip","30-Mar-2022 10:08","3.3 GiB","Action",9.0
"Disgaea - Hour of Darkness (USA) (Trade Demo).zip","Disgaea - Hour of Darkness","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Disgaea%20-%20Hour%20of%20Darkness%20%28USA%29%20%28Trade%20Demo%29.zip","20-Jul-2025 07:53","545.1 MiB","RPG",8.8
"Disgaea 2 - Cursed Memories (USA).zip","Disgaea 2 - Cursed Memories","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Disgaea%202%20-%20Cursed%20Memories%20%28USA%29.zip","30-Mar-2022 03:32","1.0 GiB","RPG",8.6
"Dragon Ball Z - Budokai (USA).zip","Dragon Ball Z - Budokai","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Dragon%20Ball%20Z%20-%20Budokai%20%28USA%29.zip","29-Mar-2022 08:10","770.1 MiB","Fighting",8.2
"Dragon Ball Z - Budokai 2 (USA).zip","Dragon Ball Z - Budokai 2","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Dragon%20Ball%20Z%20-%20Budokai%202%20%28USA%29.zip","30-Mar-2022 01:47","494.0 MiB","Fighting",7.9
"Dragon Ball Z - Budokai 3 (USA) (Greatest Hits).zip","Dragon Ball Z - Budokai 3","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Dragon%20Ball%20Z%20-%20Budokai%203%20%28USA%29%20%28Greatest%20Hits%29.zip","29-Mar-2022 21:27","1.6 GiB","Fighting",8.6
"Dragon Ball Z - Budokai Tenkaichi (USA).zip","Dragon Ball Z - Budokai Tenkaichi","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Dragon%20Ball%20Z%20-%20Budokai%20Tenkaichi%20%28USA%29.zip","29-Mar-2022 19:58","2.3 GiB","Fighting",8.3
"Dragon Ball Z - Budokai Tenkaichi 2 (USA) (En,Ja).zip","Dragon Ball Z - Budokai Tenkaichi 2","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Dragon%20Ball%20Z%20-%20Budokai%20Tenkaichi%202%20%28USA%29%20%28En%2CJa%29.zip","29-Mar-2022 04:50","1.6 GiB","Fighting",8.5
"Dragon Ball Z - Budokai Tenkaichi 3 (USA) (En,Ja).zip","Dragon Ball Z - Budokai Tenkaichi 3","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Dragon%20Ball%20Z%20-%20Budokai%20Tenkaichi%203%20%28USA%29%20%28En%2CJa%29.zip","29-Mar-2022 16:19","1.8 GiB","Fighting",8.7
"Dragon Ball Z - Infinite World (USA).zip","Dragon Ball Z - Infinite World","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Dragon%20Ball%20Z%20-%20Infinite%20World%20%28USA%29.zip","28-Mar-2022 14:09","1.8 GiB","Fighting",7.8
"Dragon Ball Z - Sagas (USA).zip","Dragon Ball Z - Sagas","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Dragon%20Ball%20Z%20-%20Sagas%20%28USA%29.zip","30-Mar-2022 04:15","1.1 GiB","Fighting",6.5
"Dragon Quest VIII - Journey of the Cursed King (USA).zip","Dragon Quest VIII - Journey of the Cursed King","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Dragon%20Quest%20VIII%20-%20Journey%20of%20the%20Cursed%20King%20%28USA%29.zip","29-Mar-2022 14:08","2.9 GiB","RPG",9.1
"Drakengard (USA).zip","Drakengard","https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Drakengard%20%28USA%29.zip","30-Mar-2022 02:31","3.5 GiB","Action",7.7
